protocol,radio_type,num_tcp_conn,run_num,seq_num,throughput_mbps,orientation_angle_in_degrees
TCP,5G,8,11,40,1992.3086501019247,45
TCP,5G,8,11,41,2023.75168,45
TCP,5G,8,11,42,2065.7380609093284,45
TCP,5G,8,11,43,2034.1802116100287,45
TCP,5G,8,11,44,2034.2946716101198,45
TCP,5G,8,11,45,2034.1540234207469,45
TCP,5G,8,11,46,2012.1232089605176,45
TCP,5G,8,11,47,2045.9158327254806,45
TCP,5G,8,11,48,2023.7072909736514,45
TCP,5G,8,11,49,2065.7646573677607,45
TCP,5G,8,11,50,2023.7536100018408,45
TCP,5G,8,11,51,2055.2070000018693,45
TCP,5G,8,11,52,2013.2779200715256,45
TCP,5G,8,11,53,2023.7820779565884,45
TCP,5G,8,11,54,2055.1290931038056,45
TCP,5G,8,11,55,2055.2952036189263,45
TCP,5G,8,11,56,2023.7719452029278,45
TCP,5G,8,11,57,2065.215628640225,45
TCP,5G,8,11,58,2013.692730464235,45
TCP,5G,8,11,59,2055.202590019744,45
TCP,5G,8,11,60,1748.7136048951031,45
TCP,5G,8,12,20,2044.6783509837408,45
TCP,5G,8,12,21,2013.2779200715256,45
TCP,5G,8,12,22,2055.1986700515195,45
TCP,5G,8,12,23,2044.751962904599,45
TCP,5G,8,12,24,2044.7149125335889,45
TCP,5G,8,12,25,2023.733345166112,45
TCP,5G,8,12,26,2055.239830463686,45
TCP,5G,8,12,27,2044.702725205026,45
TCP,5G,8,12,28,2055.301574173297,45
TCP,5G,8,12,29,2055.1369325243854,45
TCP,5G,8,12,30,2034.221435125924,45
TCP,5G,8,12,31,2044.6598269642104,45
TCP,5G,8,12,32,2044.7782889841687,45
TCP,5G,8,12,33,2065.7109726278727,45
TCP,5G,8,12,34,2034.2335600074005,45
TCP,5G,8,12,35,2023.7497500018405,45
TCP,5G,8,12,36,2055.20896,45
TCP,5G,8,12,37,2034.227255050994,45
TCP,5G,8,12,38,2055.291283297404,45
TCP,5G,8,12,39,2023.749267502876,45
TCP,5G,8,12,40,2034.1540234207469,45
TCP,5G,8,12,41,2065.804553339547,45
TCP,5G,8,12,42,2002.6760704100825,45
TCP,5G,8,12,43,2076.174045019945,45
TCP,5G,8,12,44,2034.2762407400653,45
TCP,5G,8,12,45,2055.2192500515202,45
TCP,5G,8,12,46,2023.674482944834,45
TCP,5G,8,12,47,2044.7992528286554,45
TCP,5G,8,12,48,2034.222890104069,45
TCP,5G,8,12,49,2044.676401071143,45
TCP,5G,8,12,50,2023.721282956576,45
TCP,5G,8,12,51,2055.202590019744,45
TCP,5G,8,12,52,2034.2679954589544,45
TCP,5G,8,12,53,2034.2335600074005,45
TCP,5G,8,12,54,2044.694437904588,45
TCP,5G,8,12,55,2044.7193000074387,45
TCP,5G,8,12,56,2044.7334375512573,45
TCP,5G,8,12,57,2055.2540409888293,45
TCP,5G,8,12,58,2044.700775245938,45
TCP,5G,8,12,59,2034.106983366784,45
TCP,5G,8,12,60,1779.468961220287,45
TCP,5G,8,13,20,1153.3953762667416,90
TCP,5G,8,13,21,1236.5690656332058,90
TCP,5G,8,13,22,1206.577836716059,90
TCP,5G,8,13,23,1205.8238762307608,90
TCP,5G,8,13,24,1195.4698422663166,90
TCP,5G,8,13,25,1163.888003344789,90
TCP,5G,8,13,26,1205.8601000043868,90
TCP,5G,8,13,27,1142.9396650584715,90
TCP,5G,8,13,28,1216.3968819515248,90
TCP,5G,8,13,29,1174.3158067927632,90
TCP,5G,8,13,30,1184.9064177037462,90
TCP,5G,8,13,31,1184.8990725566443,90
TCP,5G,8,13,32,1195.43877322939,90
TCP,5G,8,13,33,1153.3945513220099,90
TCP,5G,8,13,34,1174.3992400294396,90
TCP,5G,8,13,35,1184.8267559704575,90
TCP,5G,8,13,36,1216.3992021418135,90
TCP,5G,8,13,37,1195.3182178554296,90
TCP,5G,8,13,38,1226.9199210282472,90
TCP,5G,8,13,39,1216.323800487852,90
TCP,5G,8,13,40,1163.9856862794068,90
TCP,5G,8,13,41,1195.3059641789066,90
TCP,5G,8,13,42,1184.8744952265731,90
TCP,5G,8,13,43,1195.4421935947148,90
TCP,5G,8,13,44,1184.8482240356661,90
TCP,5G,8,13,45,1195.346715749122,90
TCP,5G,8,13,46,1195.4042856393496,90
TCP,5G,8,13,47,1236.9212633314035,90
TCP,5G,8,13,48,1195.7857549707753,90
TCP,5G,8,13,49,1163.9077051167073,90
TCP,5G,8,13,50,1247.8402484709814,90
TCP,5G,8,13,51,1258.3593036858408,90
TCP,5G,8,13,52,1184.7355253716867,90
TCP,5G,8,13,53,1174.519091059337,90
TCP,5G,8,13,54,1174.416880117761,90
TCP,5G,8,13,55,1226.8181252033514,90
TCP,5G,8,13,56,1163.884396050343,90
TCP,5G,8,13,57,1226.8669733905012,90
TCP,5G,8,13,58,1205.8227263053345,90
TCP,5G,8,13,59,1195.415971294069,90
TCP,5G,8,13,60,1099.1544025951566,90
TCP,5G,8,14,20,1121.981937528126,90
TCP,5G,8,14,21,1132.425901155845,90
TCP,5G,8,14,22,1101.0300005767954,90
TCP,5G,8,14,23,1080.0106204754156,90
TCP,5G,8,14,24,1069.5753157223448,90
TCP,5G,8,14,25,1069.5357901286445,90
TCP,5G,8,14,26,1069.5572100877914,90
TCP,5G,8,14,27,1038.08405253688,90
TCP,5G,8,14,28,1080.0095905196174,90
TCP,5G,8,14,29,1101.0279004846677,90
TCP,5G,8,14,30,1059.0564575265482,90
TCP,5G,8,14,31,1059.0448427702363,90
TCP,5G,8,14,32,1100.922118709518,90
TCP,5G,8,14,33,1121.6722549265453,90
TCP,5G,8,14,34,1069.9498062540397,90
TCP,5G,8,14,35,1080.0268425383704,90
TCP,5G,8,14,36,1100.9740883567003,90
TCP,5G,8,14,37,1122.0177840322983,90
TCP,5G,8,14,38,1132.425901155845,90
TCP,5G,8,14,39,1111.3782113572656,90
TCP,5G,8,14,40,1101.1436800160236,90
TCP,5G,8,14,41,1111.5205058067788,90
TCP,5G,8,14,42,1090.4883608631083,90
TCP,5G,8,14,43,1100.9950875856778,90
TCP,5G,8,14,44,1090.5354202460376,90
TCP,5G,8,14,45,1132.4574900186035,90
TCP,5G,8,14,46,1132.4372405448414,90
TCP,5G,8,14,47,1080.0028958548094,90
TCP,5G,8,14,48,1111.518385696587,90
TCP,5G,8,14,49,1121.9741800040815,90
TCP,5G,8,14,50,1069.5753157223448,90
TCP,5G,8,14,51,1059.0604975015049,90
TCP,5G,8,14,52,1069.5434400155639,90
TCP,5G,8,14,53,1006.6348800036619,90
TCP,5G,8,14,54,1101.0234378154958,90
TCP,5G,8,14,55,1069.5304352729122,90
TCP,5G,8,14,56,1090.5255400387432,90
TCP,5G,8,14,57,1111.465120582262,90
TCP,5G,8,14,58,1079.658747424988,90
TCP,5G,8,14,59,1122.3870828279069,90
TCP,5G,8,14,60,897.4231517837065,90
TCP,5G,8,15,20,1146.454023541506,90
TCP,5G,8,15,21,1104.6051205026872,90
TCP,5G,8,15,22,1096.1689780163783,90
TCP,5G,8,15,23,1111.0509843274676,90
TCP,5G,8,15,24,1088.630197032902,90
TCP,5G,8,15,25,1176.9109098989434,90
TCP,5G,8,15,26,1151.529323632119,90
TCP,5G,8,15,27,1142.9099637552256,90
TCP,5G,8,15,28,1163.8927206097273,90
TCP,5G,8,15,29,1121.9517105397965,90
TCP,5G,8,15,30,1143.0208746666362,90
TCP,5G,8,15,31,1100.9727759314862,90
